Family,Genus
Chaetodontidae,Johnrandallia
Serranidae,Paranthias
Serranidae,Dermatolepis
Balistidae,Xanthichthys
Echeneidae,Remora
Carangidae,Uraspis
Kyphosidae,Sectator
Lutjanidae,Hoplopagrus
Serranidae,Alphestes
Elopidae,Elops
Labridae,Iniistius
Scombridae,Euthynnus
Cirrhitidae,Oxycirrhites
Haemulidae,Orthopristis
Pomacentridae,Nexilosus
Haemulidae,Xenocys
Oplegnathidae,Oplegnathus
Labridae,Semicossyphus
Malacanthidae,Caulolatilus
Serranidae,Paralabrax
Labridae,Nicholsina
Syngnathidae,Hippocampus
Ogcocephalidae,Ogcocephalus
Hemiramphidae,Hemiramphus
Kuhliidae,Kuhlia
Mugilidae,Neomyxus
Cirrhitidae,Isocirrhitus
Cirrhitidae,Neocirrhites
Grammistidae,Belonoperca
Pseudochromidae,Cypho
Monacanthidae,Paraluteres
Scombridae,Rastrelliger
Labridae,Bolbometopon
Caesionidae,Gymnocaesio
Cirrhitidae,Amblycirrhitus
Megalopidae,Megalops
Bythitidae,Stygnobrotula
Sparidae,Pagrus
Scombridae,Sarda
Haemulidae,Parapristipoma
Mugilidae,Chelon
Sparidae,Spondyliosoma
Monacanthidae,Stephanolepis
Sparidae,Pagellus
Chaetodontidae,Amphichaetodon
Pomacanthidae,Genicanthus
Labridae,Pseudojuloides
Serranidae,Grammistes
Scorpaenidae,Sebastapistes
Cirrhitidae,Cirrhitops
Lethrinidae,Gymnocranius
Carangidae,Alectis
Cirrhitidae,Itycirrhitus
Cheilodactylidae,Goniistius
Scorpaenidae,Taenianotus
Clupeidae,Sardinella
Ostraciidae,Lactoria
Scombridae,Gymnosarda
Gerreidae,Eucinostomus
Carangidae,Selar
Serranidae,Serranocirrhitus
Serranidae,Aulacocephalus
Mugilidae,Liza
Pomacentridae,Pomachromis
Pseudochromidae,Manonichthys
Anarhichadidae,Anarrhichthys
Scombridae,Thunnus
Clupeidae,Sardina
Monacanthidae,Chaetodermis
Apogonidae,Zoramia
Pempherididae,Parapriacanthus
Apogonidae,Rhabdamia
Terapontidae,Pelsartia
